Nr;Entity A;Entity B;BMA_Seco2004;BMA_Resnik1995;simGIC_Seco2004;simGIC_Resnik1995;MAX_Seco2004;MAX_Resnik1995;Label
3007;3912;C0009363;0.4177319558467405;0.23312716852211823;0.08726415806998475;0.0835245638056898;0.6608195189081659;0.3657657910500763;1
3008;3912;C4554007;0.4177319558467405;0.23312716852211823;0.08726415806998475;0.0835245638056898;0.6608195189081659;0.3657657910500763;1
3009;3913;C0376358;0.3130784256681588;0.1160598181531796;0.005892496904752593;0.003757600883547151;0.6608195189081659;0.20686778594097197;1
3010;3914;C0079297;0.6929437057521991;0.4314286867469096;0.3261559412009922;0.32882247282620203;1.0;0.7761485735004662;1
3011;3914;C0079301;0.6929437057521991;0.4314286867469096;0.3261559412009922;0.32882247282620203;1.0;0.7761485735004662;1
3012;3914;C4011403;0.6042791762571976;0.40142074370627423;0.1281610628981565;0.1295560417014228;1.0;0.9253828578334887;1
3013;3918;C0007131;0.4129592257515211;0.15397306050451298;0.030098750741050048;0.023006720381290945;0.9321639037816332;0.3803956113937297;1
3014;3918;C0079297;0.6861117836235108;0.42867009413321455;0.3503876868243148;0.35550297187626795;1.0;0.7761485735004662;1
3015;3918;C0079301;0.6861117836235108;0.42867009413321455;0.3503876868243148;0.35550297187626795;1.0;0.7761485735004662;1
3016;3918;C0079683;0.8643628889106549;0.5679199725090053;0.7032563945802186;0.6926901787108466;1.0;0.826744361243373;1
3017;3918;C0268374;0.6861117836235108;0.42867009413321455;0.3503876868243148;0.35550297187626795;1.0;0.7761485735004662;1
3018;3921;C0152013;0.4356158279811792;0.12975411880070747;0.08610332008174837;0.039248569507505805;0.9321639037816332;0.2496529855650891;1
3019;3931;C2239176;0.38199824891123485;0.17055197581155498;0.06568254657924387;0.05561672582987733;0.6608195189081659;0.34836735419943726;1
3020;3939;C0152013;0.4179394281249781;0.14329030059682962;0.0509408108467243;0.0267428946877643;0.9321639037816332;0.2243549180227552;1
3021;3949;C0028754;0.25910012905684016;0.10159611463367099;0.019160478437155147;0.010086016831919863;0.7964917113448995;0.2496529855650891;1
3022;3949;C1704417;0.7280786535620032;0.495936443543475;0.32594850654311097;0.3157565946711825;1.0;0.7830961311649846;1
3023;3949;C1862939;0.3104263729496403;0.1749961834231034;0.06486057163939647;0.054322522382368954;0.7964917113448995;0.4269791416503079;1
3024;3949;C1862941;0.3104263729496403;0.1749961834231034;0.06486057163939647;0.054322522382368954;0.7964917113448995;0.4269791416503079;1
3025;3952;C0001973;0.20105735810037706;0.1210777574150206;0.009321804302779515;0.008213076684477561;0.3835419963201089;0.21392413571274765;1
3026;3952;C0002395;0.33810824649783416;0.1817363711272208;0.0723157940201185;0.06640214243692283;0.6608195189081659;0.34648641326069657;1
3027;3952;C0004352;0.35630393583004405;0.1983242119321793;0.07450813838505775;0.07186837946829482;0.6608195189081659;0.41671902167026276;1
3028;3952;C0006142;0.3854483271509711;0.14919818661409553;0.03060675599420947;0.027037334831226174;0.6639266624039181;0.43544267019428085;1
3029;3952;C0010346;0.33942977318551054;0.16864488652774975;0.05645268450705592;0.04806852780593755;0.6671356974233013;0.3170826607732035;1
3030;3952;C0011860;0.4393259189758906;0.23880444961962893;0.05641561506871794;0.04658781391495437;0.8424894623430917;0.5914164201156616;1
3031;3952;C0028754;0.44015199461756316;0.18379150314130402;0.045430675297023174;0.029721840420377538;0.9321639037816332;0.4371605223014966;1
3032;3952;C0036341;0.27506782303520355;0.12957012704823434;0.014275594255263042;0.009817141548569278;0.6608195189081659;0.21392413571274765;1
3033;3952;C0276496;0.26294501148628696;0.15751121944736945;0.043909485510522914;0.040999341143251176;0.6704535337875286;0.3843863100349401;1
3034;3952;C0376358;0.3912250761056101;0.1682502893630352;0.025198494102513475;0.021095539803637865;0.6608195189081659;0.3619677114852192;1
3035;3952;C0524620;0.4529644798224266;0.2215226543911561;0.05054148368043596;0.03884185610514753;0.8095600013881947;0.4371605223014966;1
3036;3952;C3489396;0.5749097773103815;0.29858085266603485;0.17417217022875;0.14821224686193205;1.0;0.5866837995086684;1
3037;3953;C0006142;0.3827926927782316;0.14795131968241174;0.029914697852796004;0.026486784089264647;0.6639266624039181;0.43544267019428085;1
3038;3953;C0011860;0.45699368083559555;0.2461213130005398;0.05515807176241098;0.045652864893472506;0.8424894623430917;0.5914164201156616;1
3039;3953;C0028754;0.45604144039796063;0.19079311353133643;0.044414087282361375;0.029127981747672758;0.9321639037816332;0.4371605223014966;1
3040;3953;C3489396;0.5376977910370763;0.2830034997369915;0.14745230167327814;0.1283167563056538;1.0;0.5866837995086684;1
3041;3954;C0796117;0.8335332447948041;0.5112940037838571;0.8071139955002499;0.8078258769119766;1.0;0.826744361243373;1
3042;3954;C2239176;0.36345921918344753;0.16556332791440992;0.0198534891580752;0.017849966515132286;0.7964917113448995;0.3170826607732035;1
3043;3955;C0265343;0.7910767307440205;0.46385246639554023;0.8133644211245561;0.7969222266241411;1.0;0.7761485735004662;1
3044;3955;C1837549;0.7994750341813522;0.46547222844392216;0.8703363086039535;0.8461636370029461;1.0;0.7761485735004662;1
3045;3972;C0001973;0.05791379387587242;0.04012113286429286;0.001962651341977707;0.0020260024500866865;0.05795808498020749;0.040161738477066174;1
